:START_ID,:END_ID,:TYPE
32003D0653,31966L0402,CITES
32003D0653,32002L0055,CITES
32003D0653,61999TJ0070,CITES
32003D0653,32003L0061,CITES
32003D0653,32002L0057,CITES
32003D0653,32003L0054,CITES
32003D0653,52000DC0001,CITES
32003D0653,31990L0219,CITES
32003D0653,61999TJ0013,CITES
32003D0653,52003XC0528(01),CITES
32003D0653,31997R0258,CITES
32003D0653,31966L0401,CITES
32003D0653,32001L0018,CITES
32003D0653,32002L0056,CITES
32003D0653,32003H0556,CITES
32003D0653,32002R0178,CITES
32003D0007,31989D0089,CITES
32003D0007,31974R2988,CITES
32003D0007,61973CJ0040,CITES
32003D0007,31984R2253,CITES
32003D0007,31990D0507,CITES
32003D0007,61994TJ0305,CITES
32003D0007,61976CJ0085,CITES
32003D0007,61991TJ0037,CITES
32003D0007,31984R3337,CITES
32003D0007,11997E256,CITES
32003D0007,61995CJ0286,CITES
32003D0007,61975CJ0027,CITES
32003D0007,61992CJ0137,CITES
32003D0007,31963R0099,CITES
32003D0007,61981CJ0322,CITES
32003D0007,31984R3387,CITES
32003D0007,61989TJ0079,CITES
32003D0007,11997E173,CITES
32003D0007,61978CJ0022,CITES
32003D0007,11997E082,CITES
32003D0007,31991D0301,CITES
32002D0540,32001R0069,CITES
32002D0540,61976CJ0078,CITES
32002D0540,11997E092,CITES
32002D0540,61997CJ0075,CITES
32002D0540,31998Y0310(01),CITES
32002D0540,31992Y0819(01),CITES
32002D0540,11997E094,CITES
32002D0540,61992CJ0278,CITES
32002D0540,C1996/025/03,CITES
32002D0540,31999R0659,CITES
32002D0540,61990CJ0313,CITES
32002D0540,61998CC0156,CITES
32002D0540,61999CC0310,CITES
32002D0540,C2000/055/02,CITES
32002D0540,61997CC0400,CITES
32002D0540,61997TJ0298,CITES
32002D0540,11997E095,CITES
32002D0540,11997E097,CITES
32002D0540,61996TJ0132,CITES
32002D0540,11997E087,CITES
32002D0540,61987CJ0142,CITES
32002D0540,31999D0718,CITES
32002D0540,31998Y1210(01),CITES
32002D0540,61984CJ0248,CITES
32002D0540,31996Y0306(01),CITES
32002D0540,31997D0337,CITES
32002D0540,11997E093,CITES
32002D0540,61994CJ0241,CITES
32002D0540,32000D0795,CITES
32002D0540,61997CC0006,CITES
32002D0540,11997E096,CITES
32002D0806,31999D0718,CITES
32002D0806,61999CC0310,CITES
32002D0806,31998Y1210(01),CITES
32002D0806,32001R0069,CITES
32002D0806,61997CC0006,CITES
32002D0806,61990CJ0313,CITES
32002D0806,31992Y0819(01),CITES
32002D0806,61994CJ0241,CITES
32002D0806,31996Y0306(01),CITES
32002D0806,11997E093,CITES
32002D0806,32000D0795,CITES
32002D0806,61987CJ0142,CITES
32002D0806,61996TJ0132,CITES
32002D0806,11997E096,CITES
32002D0806,61998CC0156,CITES
32002D0806,61984CJ0248,CITES
32002D0806,61992CJ0278,CITES
32002D0806,11997E299,CITES
32002D0806,31998Y0310(01),CITES
32002D0806,61997CJ0075,CITES
32002D0806,C2000/055/02,CITES
32002D0806,31993D0337,CITES
32002D0806,11997E094,CITES
32002D0806,11997E095,CITES
32002D0806,61976CJ0078,CITES
32002D0806,11997E097,CITES
32002D0806,61997CC0400,CITES
32002D0806,61997TJ0298,CITES
32002D0806,11997E087,CITES
32002D0806,31999R0659,CITES
32014R0651,52010DC0636,CITES
32014R0651,52010DC2020,CITES
32014R0651,32008L0001,CITES
32014R0651,32006R1013,CITES
32014R0651,32003L0096,CITES
32014R0651,32009R0715,CITES
32014R0651,12012E109,CITES
32014R0651,32013R1379,CITES
32014R0651,32010L0075,CITES
32014R0651,12012E107,CITES
32014R0651,52004XC1001(01),CITES
32014R0651,32009L0125,CITES
32014R0651,32013R0733,CITES
32014R0651,32001L0080,CITES
32014R0651,32000L0060,CITES
32014R0651,31999R0659,CITES
32014R0651,32012L0027,CITES
32014R0651,32004L0008,CITES
32014R0651,32003L0030,CITES
32014R0651,32006L0021,CITES
32014R0651,32012D0419,CITES
32014R0651,52010DC0245,CITES
32014R0651,32013R1303,CITES
32014R0651,32006R1893,CITES
32014R0651,52006XC1230(01),CITES
32014R0651,32009L0031,CITES
32014R0651,32009R0713,CITES
32014R0651,31985L0337,CITES
32014R0651,32006L0032,CITES
32014R0651,31996L0061,CITES
32014R0651,12012E167,CITES
32014R0651,32009L0073,CITES
32014R0651,52006XC0818(01),CITES
32014R0651,32003H0361,CITES
32014R0651,32006L0012,CITES
32014R0651,32010L0030,CITES
32014R0651,32000R0104,CITES
32014R0651,32013L0037,CITES
32014R0651,52012XC1002(02),CITES
32014R0651,32004L0035,CITES
32014R0651,32009R1224,CITES
32014R0651,32009R0714,CITES
32014R0651,52012DC0209,CITES
32014R0651,32013L0034,CITES
32014R0651,32009L0028,CITES
32014R0651,32001L0077,CITES
32014R0651,32013R1407,CITES
32014R0651,52008XC0620(02),CITES
32014R0651,32004L0039,CITES
32014R0651,32003L0087,CITES
32014R0651,32009L0072,CITES
32014R0651,32010D0718,CITES
32014R0651,32013R1299,CITES
32014R0651,32010D0787,CITES
32014R0651,31998L0070,CITES
32014R0651,32006R1184,CITES
32014R0651,32003L0098,CITES
32019R0033,32015L2436,CITES
32019R0033,12016P017,CITES
