id:ID,url,name,eurovoc_concepts:STRING[],domains:STRING[],subdomains:STRING[],:LABEL
http://eurovoc.europa.eu/100220,http://eurovoc.europa.eu/100220,3221 documentation,3221 documentation;32 EDUCATION AND COMMUNICATIONS,32 EDUCATION AND COMMUNICATIONS,3221 documentation,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100221,http://eurovoc.europa.eu/100221,3226 communications,32 EDUCATION AND COMMUNICATIONS;3226 communications,32 EDUCATION AND COMMUNICATIONS,3226 communications,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100222,http://eurovoc.europa.eu/100222,3231 information and information processing,32 EDUCATION AND COMMUNICATIONS;3231 information and information processing,32 EDUCATION AND COMMUNICATIONS,3231 information and information processing,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100223,http://eurovoc.europa.eu/100223,3236 information technology and data processing,32 EDUCATION AND COMMUNICATIONS;3236 information technology and data processing,32 EDUCATION AND COMMUNICATIONS,3236 information technology and data processing,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100224,http://eurovoc.europa.eu/100224,3606 natural and applied sciences,3606 natural and applied sciences;36 SCIENCE,36 SCIENCE,3606 natural and applied sciences,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100225,http://eurovoc.europa.eu/100225,3611 humanities,3611 humanities;36 SCIENCE,36 SCIENCE,3611 humanities,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100226,http://eurovoc.europa.eu/100226,4006 business organisation,4006 business organisation;40 BUSINESS AND COMPETITION,40 BUSINESS AND COMPETITION,4006 business organisation,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100227,http://eurovoc.europa.eu/100227,4011 business classification,4011 business classification;40 BUSINESS AND COMPETITION,40 BUSINESS AND COMPETITION,4011 business classification,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100228,http://eurovoc.europa.eu/100228,4016 legal form of organisations,40 BUSINESS AND COMPETITION;4016 legal form of organisations,40 BUSINESS AND COMPETITION,4016 legal form of organisations,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100229,http://eurovoc.europa.eu/100229,4021 management,4021 management;40 BUSINESS AND COMPETITION,40 BUSINESS AND COMPETITION,4021 management,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100230,http://eurovoc.europa.eu/100230,4026 accounting,4026 accounting;40 BUSINESS AND COMPETITION,40 BUSINESS AND COMPETITION,4026 accounting,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100231,http://eurovoc.europa.eu/100231,4031 competition,4031 competition;40 BUSINESS AND COMPETITION,40 BUSINESS AND COMPETITION,4031 competition,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100232,http://eurovoc.europa.eu/100232,4406 employment,4406 employment;44 EMPLOYMENT AND WORKING CONDITIONS,44 EMPLOYMENT AND WORKING CONDITIONS,4406 employment,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100233,http://eurovoc.europa.eu/100233,4411 labour market,4411 labour market;44 EMPLOYMENT AND WORKING CONDITIONS,44 EMPLOYMENT AND WORKING CONDITIONS,4411 labour market,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100234,http://eurovoc.europa.eu/100234,4416 organisation of work and working conditions,4416 organisation of work and working conditions;44 EMPLOYMENT AND WORKING CONDITIONS,44 EMPLOYMENT AND WORKING CONDITIONS,4416 organisation of work and working conditions,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100235,http://eurovoc.europa.eu/100235,4421 personnel management and staff remuneration,4421 personnel management and staff remuneration;44 EMPLOYMENT AND WORKING CONDITIONS,44 EMPLOYMENT AND WORKING CONDITIONS,4421 personnel management and staff remuneration,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100236,http://eurovoc.europa.eu/100236,4426 labour law and labour relations,4426 labour law and labour relations;44 EMPLOYMENT AND WORKING CONDITIONS,44 EMPLOYMENT AND WORKING CONDITIONS,4426 labour law and labour relations,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100237,http://eurovoc.europa.eu/100237,4806 transport policy,4806 transport policy;48 TRANSPORT,48 TRANSPORT,4806 transport policy,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100238,http://eurovoc.europa.eu/100238,4811 organisation of transport,4811 organisation of transport;48 TRANSPORT,48 TRANSPORT,4811 organisation of transport,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100239,http://eurovoc.europa.eu/100239,4816 land transport,4816 land transport;48 TRANSPORT,48 TRANSPORT,4816 land transport,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100240,http://eurovoc.europa.eu/100240,4821 maritime and inland waterway transport,4821 maritime and inland waterway transport;48 TRANSPORT,48 TRANSPORT,4821 maritime and inland waterway transport,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100241,http://eurovoc.europa.eu/100241,4826 air and space transport,4826 air and space transport;48 TRANSPORT,48 TRANSPORT,4826 air and space transport,EurovocConcept;SubDomain
