domain,hybridity_threshold,min_articles,min_block,min_improvement,n_candidates,n_accepted_pre_validation,H_before_paired,H_after_paired,relative_reduction,canonical_thresholds,stage
fdi_screening,0.3,6,4,0.35,6,2,0.3482109554163274,0.3172437860417734,0.08893220874549768,False,deterministic_pre_validation
fdi_screening,0.3,6,5,0.25,6,4,0.3482109554163274,0.29782166675020394,0.14470908477269795,False,deterministic_pre_validation
fdi_screening,0.3,6,5,0.3,6,4,0.3482109554163274,0.29782166675020394,0.14470908477269795,False,deterministic_pre_validation
fdi_screening,0.3,6,5,0.35,6,2,0.3482109554163274,0.3172437860417734,0.08893220874549768,False,deterministic_pre_validation
fdi_screening,0.3,8,3,0.25,6,5,0.3482109554163274,0.2873132702591644,0.17488733254918012,False,deterministic_pre_validation
fdi_screening,0.3,8,3,0.3,6,4,0.3482109554163274,0.29782166675020394,0.14470908477269795,False,deterministic_pre_validation
fdi_screening,0.3,8,3,0.35,6,2,0.3482109554163274,0.3172437860417734,0.08893220874549768,False,deterministic_pre_validation
fdi_screening,0.3,8,4,0.25,6,4,0.3482109554163274,0.29782166675020394,0.14470908477269795,False,deterministic_pre_validation
fdi_screening,0.3,8,4,0.3,6,4,0.3482109554163274,0.29782166675020394,0.14470908477269795,False,deterministic_pre_validation
fdi_screening,0.3,8,4,0.35,6,2,0.3482109554163274,0.3172437860417734,0.08893220874549768,False,deterministic_pre_validation
fdi_screening,0.3,8,5,0.25,6,4,0.3482109554163274,0.29782166675020394,0.14470908477269795,False,deterministic_pre_validation
fdi_screening,0.3,8,5,0.3,6,4,0.3482109554163274,0.29782166675020394,0.14470908477269795,False,deterministic_pre_validation
fdi_screening,0.3,8,5,0.35,6,2,0.3482109554163274,0.3172437860417734,0.08893220874549768,False,deterministic_pre_validation
fdi_screening,0.3,10,3,0.25,5,4,0.3482109554163274,0.29782166675020394,0.14470908477269795,False,deterministic_pre_validation
