source,target,type
http://eurovoc.europa.eu/6205,http://eurovoc.europa.eu/1767,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/6205,http://eurovoc.europa.eu/1254,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/5087,http://eurovoc.europa.eu/1255,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/5087,http://eurovoc.europa.eu/1968,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/5302,http://eurovoc.europa.eu/2058,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/5302,http://eurovoc.europa.eu/4161,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/5302,http://eurovoc.europa.eu/5108,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/5780,http://eurovoc.europa.eu/5930,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/c_b2c019c8,http://eurovoc.europa.eu/3857,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/c_b2c019c8,http://eurovoc.europa.eu/1841,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/c_b2c019c8,http://eurovoc.europa.eu/1509,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/2106,http://eurovoc.europa.eu/1182,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/1105,http://eurovoc.europa.eu/314,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/1105,http://eurovoc.europa.eu/2331,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/2737,http://eurovoc.europa.eu/1564,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/2737,http://eurovoc.europa.eu/2121,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/2469,http://eurovoc.europa.eu/7948,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/2469,http://eurovoc.europa.eu/c_c2e62947,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/2351,http://eurovoc.europa.eu/1537,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/2351,http://eurovoc.europa.eu/3990,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/5923,http://eurovoc.europa.eu/2982,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/2702,http://eurovoc.europa.eu/6892,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/2702,http://eurovoc.europa.eu/3703,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/486,http://eurovoc.europa.eu/4456,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/486,http://eurovoc.europa.eu/5277,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/4415,http://eurovoc.europa.eu/4496,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/3689,http://eurovoc.europa.eu/3694,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/1737,http://eurovoc.europa.eu/2868,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/1012,http://eurovoc.europa.eu/4383,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/929,http://eurovoc.europa.eu/3253,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/2698,http://eurovoc.europa.eu/875,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/2493,http://eurovoc.europa.eu/5373,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/2972,http://eurovoc.europa.eu/2194,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/873,http://eurovoc.europa.eu/629,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/2170,http://eurovoc.europa.eu/5264,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/2190,http://eurovoc.europa.eu/7211,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/2190,http://eurovoc.europa.eu/c_ce38fff4,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/2167,http://eurovoc.europa.eu/5286,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/2171,http://eurovoc.europa.eu/5530,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/2163,http://eurovoc.europa.eu/5508,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/1451,http://eurovoc.europa.eu/128,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/5769,http://eurovoc.europa.eu/c_8a658bb0,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/5769,http://eurovoc.europa.eu/5641,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/5769,http://eurovoc.europa.eu/7985,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/5769,http://eurovoc.europa.eu/447795,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/5769,http://eurovoc.europa.eu/5757,PARENT_CONCEPT_OF
