Source,Target,Type,start_year,end_year
32013R0152,31986L0635,CITES,2013.0,1986.0
32013R0152,32006L0049,CITES,2013.0,2006.0
32013R0152,31983L0349,CITES,2013.0,1983.0
32013R0152,31978L0660,CITES,2013.0,1978.0
32013R0152,32010R1093,CITES,2013.0,2010.0
32018D0934,32017D1908,CITES,2018.0,2017.0
32018D0934,32008D0146,CITES,2018.0,2008.0
32018D0934,31999D0437,CITES,2018.0,1999.0
32020R1298,12016E185,CITES,2020.0,2016.0
32020R1298,32007D0198,CITES,2020.0,2007.0
32020R1298,32018R1046,CITES,2020.0,2018.0
32020R1298,32019D1909,CITES,2020.0,2019.0
32020R1298,12016E187,CITES,2020.0,2016.0
32020R1298,32018D1797,CITES,2020.0,2018.0
32020R1298,32013R1291,CITES,2020.0,2013.0
32025D0043,32024D1339,CITES,2025.0,2024.0
31994R3163,11965F/PRO/PRI/16,BASED_ON,1994.0,1965.0
31994R3163,11965F028,BASED_ON,1994.0,1965.0
31998L0005,11992E057,BASED_ON,1998.0,1992.0
31998L0005,11992E189B,BASED_ON,1998.0,1992.0
31997L0009,11992E189B,BASED_ON,1997.0,1992.0
31997L0009,11992E057,BASED_ON,1997.0,1992.0
32024L1640,12016E114,BASED_ON,2024.0,2016.0
32022D0785,32019D0709,CITES,2022.0,2019.0
32022D0785,32019R0123,CITES,2022.0,2019.0
32017R2069,32009R1107,BASED_ON,2017.0,2009.0
32011D0077,32010R0407,BASED_ON,2011.0,2010.0
32016L0681,12012E087,BASED_ON,2016.0,2012.0
32016L0681,12012E082,BASED_ON,2016.0,2012.0
32017R0459,32009R0715,BASED_ON,2017.0,2009.0
32023R1805,12016E100,BASED_ON,2023.0,2016.0
32005D0145,12002E088,BASED_ON,2005.0,2002.0
31999R1228,31997R0058,BASED_ON,1999.0,1997.0
32017R0284,32011D0101,CITES,2017.0,2011.0
32017R0284,32009R0428,CITES,2017.0,2009.0
32014R0524,32010R1093,CITES,2014.0,2010.0
32014R0524,32013R0575,CITES,2014.0,2013.0
32014R0524,31994L0019,CITES,2014.0,1994.0
32014R0523,32010R1093,CITES,2014.0,2010.0
32014R0523,32009L0065,CITES,2014.0,2009.0
32022L0275,32006R1907,CITES,2022.0,2006.0
32014R0526,32010R1093,CITES,2014.0,2010.0
