:ID,celex_id,celex_clean,work_title,year_final,legal_type_normalized,era,decade,eurovoc_concepts:STRING[],domains:STRING[],subdomains:STRING[],url,sector,sector_label,resource_legal_type,legal_type_class,n_eurovoc_concepts
32017R1836R(04),32017R1836R(04),32017R1836R04,,2017.0,Regulation,Late 2010s,2010.0,joint venture;0816 international security;7226 Asia and Oceania;08 INTERNATIONAL RELATIONS;48 TRANSPORT;nuclear non-proliferation;2021 international trade;international affairs;type of business;petroleum product;petrochemicals;66 ENERGY;trade restriction;trading operation;textile industry;international sanctions;import;4821 maritime and inland waterway transport;international security;6616 oil industry;import (EU);import restriction;disarmament;6841 leather and textile industries;Far East;textile product;maritime transport;0806 international affairs;4011 business classification;40 BUSINESS AND COMPETITION;20 TRADE;2016 trade;economic sanctions;72 GEOGRAPHY;68 INDUSTRY;North Korea,40 BUSINESS AND COMPETITION;20 TRADE;08 INTERNATIONAL RELATIONS;66 ENERGY;48 TRANSPORT;72 GEOGRAPHY;68 INDUSTRY,4821 maritime and inland waterway transport;6616 oil industry;0816 international security;2021 international trade;7226 Asia and Oceania;0806 international affairs;4011 business classification;2016 trade;6841 leather and textile industries,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R1836R(04),3,LegalAct,,Regulation,36
32017R1938,32017R1938,32017R1938,,2017.0,Regulation,Late 2010s,2010.0,gas supply;self-sufficiency in energy;08 INTERNATIONAL RELATIONS;energy policy;supply;48 TRANSPORT;town planning;0811 cooperation policy;energy market;gas industry;natural gas;28 SOCIAL QUESTIONS;management;gas pipeline;energy efficiency;7231 economic geography;66 ENERGY;gas;fuel;6616 oil industry;security of supply;action programme;energy industry;EU Member State;cooperation policy;pipeline transport;4811 organisation of transport;4021 management;40 BUSINESS AND COMPETITION;20 TRADE;hydrocarbon;mode of transport;2016 trade;urban infrastructure;72 GEOGRAPHY;third country;6606 energy policy;2846 construction and town planning,28 SOCIAL QUESTIONS;40 BUSINESS AND COMPETITION;20 TRADE;08 INTERNATIONAL RELATIONS;66 ENERGY;48 TRANSPORT;72 GEOGRAPHY,6616 oil industry;4811 organisation of transport;4021 management;7231 economic geography;2016 trade;6606 energy policy;0811 cooperation policy;2846 construction and town planning,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R1938,3,LegalAct,,Regulation,38
32017R1938R(01),32017R1938R(01),32017R1938R01,,2017.0,Regulation,Late 2010s,2010.0,gas supply;self-sufficiency in energy;08 INTERNATIONAL RELATIONS;energy policy;supply;48 TRANSPORT;town planning;0811 cooperation policy;energy market;gas industry;natural gas;28 SOCIAL QUESTIONS;management;gas pipeline;energy efficiency;7231 economic geography;66 ENERGY;gas;fuel;6616 oil industry;security of supply;action programme;energy industry;EU Member State;cooperation policy;pipeline transport;4811 organisation of transport;4021 management;40 BUSINESS AND COMPETITION;20 TRADE;hydrocarbon;mode of transport;2016 trade;urban infrastructure;72 GEOGRAPHY;third country;6606 energy policy;2846 construction and town planning,28 SOCIAL QUESTIONS;40 BUSINESS AND COMPETITION;20 TRADE;08 INTERNATIONAL RELATIONS;66 ENERGY;48 TRANSPORT;72 GEOGRAPHY,6616 oil industry;4811 organisation of transport;4021 management;7231 economic geography;2016 trade;6606 energy policy;0811 cooperation policy;2846 construction and town planning,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R1938R(01),3,LegalAct,,Regulation,38
32017R1951,32017R1951,32017R1951,,2017.0,Regulation,Late 2010s,2010.0,,,,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R1951,3,LegalAct,,Regulation,0
32017R1970,32017R1970,32017R1970,,2017.0,Regulation,Late 2010s,2010.0,"maritime law;5211 natural environment;ocean;fishing area;48 TRANSPORT;EU waters;12 LAW;law of the sea;Baltic Sea;fish;catch quota;4821 maritime and inland waterway transport;fishery management;52 ENVIRONMENT;ship's flag;catch area;catch of fish;1231 international law;fisheries policy;conservation of fish stocks;fishing regulations;public international law;catch by species;56 AGRICULTURE, FORESTRY AND FISHERIES;geophysical environment;Atlantic Ocean;maritime transport;sea fish;5641 fisheries;sea fishing;fishing rights;maritime area;fishing grounds;fishery resources","52 ENVIRONMENT;12 LAW;48 TRANSPORT;56 AGRICULTURE, FORESTRY AND FISHERIES",4821 maritime and inland waterway transport;1231 international law;5211 natural environment;5641 fisheries,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R1970,3,LegalAct,,Regulation,34
32017R2095,32017R2095,32017R2095,,2017.0,Regulation,Late 2010s,2010.0,administrative law;2416 financial institutions and credit;executive body;statutory power;0436 executive power and public service;04 POLITICS;infringement of EU law;banking;10 EUROPEAN UNION;EU law;2411 monetary economics;central bank;banking supervision;executive competence;administrative sanction;application of EU law;sanction (EU);monetary policy;24 FINANCE;1011 European Union law,04 POLITICS;24 FINANCE;10 EUROPEAN UNION,2416 financial institutions and credit;0436 executive power and public service;1011 European Union law;2411 monetary economics,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R2095,3,LegalAct,,Regulation,20
32017R2114,32017R2114,32017R2114,,2017.0,Regulation,Late 2010s,2010.0,,,,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R2114,3,LegalAct,,Regulation,0
32017R2160,32017R2160,32017R2160,,2017.0,Regulation,Late 2010s,2010.0,,,,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R2160,3,LegalAct,,Regulation,0
32017R2169,32017R2169,32017R2169,,2017.0,Regulation,Late 2010s,2010.0,"1631 economic analysis;energy policy;3231 information and information processing;electrical energy;energy market;natural gas;EU statistics;publishing of prices;64 PRODUCTION, TECHNOLOGY AND RESEARCH;16 ECONOMICS;66 ENERGY;electrical industry;technical regulations;6621 electrical and nuclear industries;6616 oil industry;price of energy;exchange of information;3236 information technology and data processing;2451 prices;6411 technology and technical regulations;statistics;prices policy;32 EDUCATION AND COMMUNICATIONS;technical specification;hydrocarbon;24 FINANCE;data collection;6606 energy policy;information;data processing","64 PRODUCTION, TECHNOLOGY AND RESEARCH;16 ECONOMICS;32 EDUCATION AND COMMUNICATIONS;24 FINANCE;66 ENERGY",6621 electrical and nuclear industries;6616 oil industry;1631 economic analysis;3231 information and information processing;3236 information technology and data processing;2451 prices;6606 energy policy;6411 technology and technical regulations,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R2169,3,LegalAct,,Regulation,30
32017R2244,32017R2244,32017R2244,,2017.0,Regulation,Late 2010s,2010.0,"2011 tariff policy;tariff nomenclature;Combined Nomenclature;non-ferrous metal;specification of tariff heading;metal product;customs tariff;metals;6816 iron, steel and other metal industries;aluminium;20 TRADE;metallurgical industry;68 INDUSTRY",20 TRADE;68 INDUSTRY,"2011 tariff policy;6816 iron, steel and other metal industries",https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R2244,3,LegalAct,,Regulation,13
32017R2245,32017R2245,32017R2245,,2017.0,Regulation,Late 2010s,2010.0,2011 tariff policy;raw chemical industry;tariff nomenclature;Combined Nomenclature;cosmetic product;6811 chemistry;cosmetics industry;household article;specification of tariff heading;plastics industry;special chemicals;6846 miscellaneous industries;customs tariff;miscellaneous industries;plastics;20 TRADE;68 INDUSTRY;chemical industry,20 TRADE;68 INDUSTRY,6811 chemistry;2011 tariff policy;6846 miscellaneous industries,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R2245,3,LegalAct,,Regulation,18
