Id,Label,year,type,era,seed_concepts,indegree,outdegree,degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
31968R0259,31968R0259,1968,Regulation,Pre-Single European Act,0,20,1,21,331,1,1,1,404
31969D0314,31969D0314,1969,Decision,Pre-Single European Act,0,1,0,1,333,0,0,0,0
31969R1630,31969R1630,1969,Regulation,Pre-Single European Act,0,1,0,1,266,0,0,0,0
31970D0552,31970D0552,1970,Decision,Pre-Single European Act,0,1,0,1,59,0,0,0,0
31973D0402,31973D0402,1973,Decision,Pre-Single European Act,0,1,0,1,17,0,0,0,0
31973L0239,31973L0239,1973,Directive,Pre-Single European Act,0,10,0,10,280,0,0,0,0
31974D0234,31974D0234,1974,Decision,Pre-Single European Act,0,2,0,2,324,0,0,0,0
31975L0404,31975L0404,1975,Directive,Pre-Single European Act,0,1,0,1,312,0,0,0,0
31976L0464,31976L0464,1976,Directive,Pre-Single European Act,0,3,0,3,329,0,0,0,0
31976L0580,31976L0580,1976,Directive,Pre-Single European Act,0,4,0,4,280,0,0,0,0
31976L0768,31976L0768,1976,Directive,Pre-Single European Act,0,4,0,4,329,0,0,0,0
31977L0388,31977L0388,1977,Directive,Pre-Single European Act,0,4,0,4,231,0,0,0,0
31989L0662,31989L0662,1989,Directive,Pre-Maastricht,0,3,0,3,333,0,0,0,0
31990D0424,31990D0424,1990,Decision,Pre-Maastricht,0,5,0,5,231,0,0,0,0
31990L0167,31990L0167,1990,Directive,Pre-Maastricht,0,2,0,2,333,0,0,0,0
31990L0434,31990L0434,1990,Directive,Pre-Maastricht,0,2,0,2,231,0,0,0,0
31990L0544,31990L0544,1990,Directive,Pre-Maastricht,0,1,0,1,333,0,0,0,0
31992L0049,31992L0049,1992,Directive,Pre-Maastricht,0,9,0,9,280,0,0,0,0
31992Y0114(01),31992Y011401,1992,Legislative_Act,Pre-Maastricht,0,2,0,2,177,0,0,0,0
31993L0038,31993L0038,1993,Directive,1990s,0,4,0,4,266,0,0,0,0
31993L0113,31993L0113,1993,Directive,1990s,0,1,0,1,333,0,0,0,0
31993Y1113(01),31993Y111301,1993,Legislative_Act,1990s,0,4,0,4,84,0,0,0,0
31994D0652,31994D0652,1994,Decision,1990s,0,1,1,2,333,1,1,1,0
31995L0033,31995L0033,1995,Directive,1990s,0,1,0,1,333,0,0,0,0
31996L0024,31996L0024,1996,Directive,1990s,0,1,0,1,333,0,0,0,0
31996L0029,31996L0029,1996,Directive,1990s,0,11,0,11,329,0,0,0,0
31997D0346,31997D0346,1997,Decision,1990s,0,1,0,1,59,0,0,0,0
31997L0007,31997L0007,1997,Directive,1990s,0,3,0,3,333,0,0,0,0
31997Y0311(02),31997Y031102,1997,Legislative_Act,1990s,0,1,0,1,266,0,0,0,0
31998D0513,31998D0513,1998,Decision,1990s,0,0,12,12,84,2,0.676471,0.76087,0
31998L0070,31998L0070,1998,Directive,1990s,0,5,5,10,210,1,1,1,2440.321338
31998R2821,31998R2821,1998,Regulation,1990s,0,1,0,1,333,0,0,0,0
31999L0093,31999L0093,1999,Directive,1990s,0,13,0,13,324,0,0,0,0
31999R1260,31999R1260,1999,Regulation,1990s,0,1,0,1,84,0,0,0,0
32000Y0311(03),32000Y031103,2000,Legislative_Act,Early 2000s,0,3,0,3,84,0,0,0,0
32001D0723,32001D0723,2001,Decision,Early 2000s,0,0,8,8,84,2,0.625,0.7,0
32001L0016,32001L0016,2001,Directive,Early 2000s,0,2,0,2,157,0,0,0,0
32001R0045,32001R0045,2001,Regulation,Early 2000s,0,96,0,96,300,0,0,0,0
32001R0467,32001R0467,2001,Regulation,Early 2000s,0,2,0,2,300,0,0,0,0
32002D0733,32002D0733,2002,Decision,Early 2000s,0,1,0,1,157,0,0,0,0
32002R1780,32002R1780,2002,Regulation,Early 2000s,0,1,0,1,329,0,0,0,0
32003L0037,32003L0037,2003,Directive,Early 2000s,0,5,0,5,329,0,0,0,0
32004L0049,32004L0049,2004,Directive,Early 2000s,0,9,0,9,84,0,0,0,0
32005C0295,32005C0295,2005,Legislative_Act,Late 2000s,0,1,0,1,331,0,0,0,0
32005D0145,32005D0145,2005,Decision,Late 2000s,0,2,11,13,84,1,1,1,23.5
