id:ID,url,name,eurovoc_concepts:STRING[],domains:STRING[],subdomains:STRING[],:LABEL
http://eurovoc.europa.eu/3844,http://eurovoc.europa.eu/3844,medical device,28 SOCIAL QUESTIONS;medical device;organisation of health care;2841 health;health policy,28 SOCIAL QUESTIONS,2841 health,EurovocConcept
http://eurovoc.europa.eu/3860,http://eurovoc.europa.eu/3860,telecommunications equipment,communications systems;telecommunications equipment;telecommunications;32 EDUCATION AND COMMUNICATIONS;3226 communications,32 EDUCATION AND COMMUNICATIONS,3226 communications,EurovocConcept
http://eurovoc.europa.eu/3875,http://eurovoc.europa.eu/3875,radio telecommunications,communications systems;telecommunications equipment;telecommunications;32 EDUCATION AND COMMUNICATIONS;3226 communications;radio telecommunications,32 EDUCATION AND COMMUNICATIONS,3226 communications,EurovocConcept
http://eurovoc.europa.eu/3876,http://eurovoc.europa.eu/3876,microelectronics,6826 electronics and electrical engineering;electronics industry;microelectronics;68 INDUSTRY,68 INDUSTRY,6826 electronics and electrical engineering,EurovocConcept
http://eurovoc.europa.eu/3885,http://eurovoc.europa.eu/3885,public health,28 SOCIAL QUESTIONS;public health;organisation of health care;2841 health;health policy,28 SOCIAL QUESTIONS,2841 health,EurovocConcept
http://eurovoc.europa.eu/3915,http://eurovoc.europa.eu/3915,right to development,right to development;12 LAW;economic rights;1236 rights and freedoms,12 LAW,1236 rights and freedoms,EurovocConcept
http://eurovoc.europa.eu/393,http://eurovoc.europa.eu/393,food expenditure,2026 consumption;20 TRADE;food expenditure;consumption,20 TRADE,2026 consumption,EurovocConcept
http://eurovoc.europa.eu/3942,http://eurovoc.europa.eu/3942,financial solvency,civil law;financial solvency;12 LAW;contract;guarantee;1211 civil law,12 LAW,1211 civil law,EurovocConcept
http://eurovoc.europa.eu/3974,http://eurovoc.europa.eu/3974,rights of the defence,rights of the defence;1221 justice;12 LAW;judicial proceedings,12 LAW,1221 justice,EurovocConcept
http://eurovoc.europa.eu/3993,http://eurovoc.europa.eu/3993,threat to national security,offence;1216 criminal law;12 LAW;threat to national security,12 LAW,1216 criminal law,EurovocConcept
http://eurovoc.europa.eu/3994,http://eurovoc.europa.eu/3994,banking secrecy,2416 financial institutions and credit;banking secrecy;banking;24 FINANCE,24 FINANCE,2416 financial institutions and credit,EurovocConcept
http://eurovoc.europa.eu/4025,http://eurovoc.europa.eu/4025,security of supply,security of supply;20 TRADE;2016 trade;supply,20 TRADE,2016 trade,EurovocConcept
http://eurovoc.europa.eu/4028,http://eurovoc.europa.eu/4028,social-security harmonisation,28 SOCIAL QUESTIONS;social security;2836 social protection;social-security harmonisation,28 SOCIAL QUESTIONS,2836 social protection,EurovocConcept
http://eurovoc.europa.eu/4033,http://eurovoc.europa.eu/4033,transport safety,transport policy;transport safety;4806 transport policy;48 TRANSPORT,48 TRANSPORT,4806 transport policy,EurovocConcept
http://eurovoc.europa.eu/4045,http://eurovoc.europa.eu/4045,public safety,04 POLITICS;0431 politics and public safety;public safety,04 POLITICS,0431 politics and public safety,EurovocConcept
http://eurovoc.europa.eu/4050,http://eurovoc.europa.eu/4050,social security,28 SOCIAL QUESTIONS;social security;2836 social protection,28 SOCIAL QUESTIONS,2836 social protection,EurovocConcept
http://eurovoc.europa.eu/406,http://eurovoc.europa.eu/406,deportee,0816 international security;deportee;08 INTERNATIONAL RELATIONS;war victim,08 INTERNATIONAL RELATIONS,0816 international security,EurovocConcept
http://eurovoc.europa.eu/4116,http://eurovoc.europa.eu/4116,health service,28 SOCIAL QUESTIONS;health service;2841 health;health policy,28 SOCIAL QUESTIONS,2841 health,EurovocConcept
http://eurovoc.europa.eu/4118,http://eurovoc.europa.eu/4118,post office financial services,post office financial services;2416 financial institutions and credit;24 FINANCE;financial institution,24 FINANCE,2416 financial institutions and credit,EurovocConcept
http://eurovoc.europa.eu/4120,http://eurovoc.europa.eu/4120,financial interests of members,financial interests of members;Member of Parliament;04 POLITICS;0421 parliament,04 POLITICS,0421 parliament,EurovocConcept
http://eurovoc.europa.eu/4142,http://eurovoc.europa.eu/4142,single-crop farming,"5621 cultivation of agricultural land;cultivation system;single-crop farming;56 AGRICULTURE, FORESTRY AND FISHERIES","56 AGRICULTURE, FORESTRY AND FISHERIES",5621 cultivation of agricultural land,EurovocConcept
http://eurovoc.europa.eu/4152,http://eurovoc.europa.eu/4152,transport of animals,transport of animals;4811 organisation of transport;organisation of transport;48 TRANSPORT,48 TRANSPORT,4811 organisation of transport,EurovocConcept
http://eurovoc.europa.eu/4163,http://eurovoc.europa.eu/4163,pet food,"5631 agricultural activity;animal nutrition;pet food;56 AGRICULTURE, FORESTRY AND FISHERIES","56 AGRICULTURE, FORESTRY AND FISHERIES",5631 agricultural activity,EurovocConcept
http://eurovoc.europa.eu/4166,http://eurovoc.europa.eu/4166,insurance claim,insurance claim;2431 insurance;insurance contract;24 FINANCE;insurance,24 FINANCE,2431 insurance,EurovocConcept
http://eurovoc.europa.eu/4187,http://eurovoc.europa.eu/4187,financial situation,24 FINANCE;financial market;2421 free movement of capital;financial situation,24 FINANCE,2421 free movement of capital,EurovocConcept
http://eurovoc.europa.eu/4235,http://eurovoc.europa.eu/4235,price support,prices policy;24 FINANCE;price support;2451 prices,24 FINANCE,2451 prices,EurovocConcept
http://eurovoc.europa.eu/4236,http://eurovoc.europa.eu/4236,farm price support,"farm price support;common agricultural policy;agri-monetary policy;5606 agricultural policy;56 AGRICULTURE, FORESTRY AND FISHERIES","56 AGRICULTURE, FORESTRY AND FISHERIES",5606 agricultural policy,EurovocConcept
http://eurovoc.europa.eu/4237,http://eurovoc.europa.eu/4237,short-term monetary support,EU financing;EU financial instrument;short-term monetary support;10 EUROPEAN UNION;support mechanism;1021 EU finance,10 EUROPEAN UNION,1021 EU finance,EurovocConcept
http://eurovoc.europa.eu/4245,http://eurovoc.europa.eu/4245,sport,sport;28 SOCIAL QUESTIONS;2826 social affairs;leisure,28 SOCIAL QUESTIONS,2826 social affairs,EurovocConcept
http://eurovoc.europa.eu/4251,http://eurovoc.europa.eu/4251,indoor livestock farming,"5631 agricultural activity;livestock farming;indoor livestock farming;56 AGRICULTURE, FORESTRY AND FISHERIES","56 AGRICULTURE, FORESTRY AND FISHERIES",5631 agricultural activity,EurovocConcept
http://eurovoc.europa.eu/4263,http://eurovoc.europa.eu/4263,financial statistics,financial statistics;24 FINANCE;financial market;2421 free movement of capital,24 FINANCE,2421 free movement of capital,EurovocConcept
