Id,Label,Year,Type,Era,Seed_Concepts
62007CJ0049,62007CJ0049,2007.0,Case_Law,Late 2000s,0
62007CJ0350,62007CJ0350,2007.0,Case_Law,Late 2000s,0
62010CJ0614,62010CJ0614,2010.0,Case_Law,Early 2010s,0
11951K056,11951K056,1951.0,Treaty,Pre-Treaty of Rome,0
11957E052,11957E052,1957.0,Treaty,Pre-Treaty of Rome,0
11965F034,11965F034,1965.0,Treaty,Pre-Single European Act,0
11985I066,11985I066,1985.0,Treaty,Pre-Single European Act,0
11985I223,11985I223,1985.0,Treaty,Pre-Single European Act,0
11992E087,11992E087,1992.0,Treaty,Pre-Maastricht,0
11992E130F,11992E130F,1992.0,Treaty,Pre-Maastricht,0
11992E130S,11992E130S,1992.0,Treaty,Pre-Maastricht,0
11997E071,11997E071,1997.0,Treaty,1990s,0
11997E073,11997E073,1997.0,Treaty,1990s,0
11997E086,11997E086,1997.0,Treaty,1990s,0
11997E284,11997E284,1997.0,Treaty,1990s,0
11997M024,11997M024,1997.0,Treaty,1990s,0
12002E300,12002E300,2002.0,Treaty,Early 2000s,0
12003TN02/05,12003TN0205,2003.0,Treaty,Early 2000s,0
12006M031,12006M031,2006.0,Treaty,Late 2000s,0
12010E091,12010E091,2010.0,Treaty,Early 2010s,0
12010E108,12010E108,2010.0,Treaty,Early 2010s,0
12010E126,12010E126,2010.0,Treaty,Early 2010s,0
12010E168,12010E168,2010.0,Treaty,Early 2010s,0
12012E050,12012E050,2012.0,Treaty,Early 2010s,0
12012E115,12012E115,2012.0,Treaty,Early 2010s,0
12012J050,12012J050,2012.0,Treaty,Early 2010s,0
12012M/PRO/04,12012MPRO04,2012.0,Treaty,Early 2010s,0
12012M042,12012M042,2012.0,Treaty,Early 2010s,0
12016A037,12016A037,2016.0,Treaty,Late 2010s,0
12016AN02,12016AN02,2016.0,Treaty,Late 2010s,0
12016E/PRO/22,12016EPRO22,2016.0,Treaty,Late 2010s,0
12016E015,12016E015,2016.0,Treaty,Late 2010s,0
12016E054,12016E054,2016.0,Treaty,Late 2010s,0
12016E084,12016E084,2016.0,Treaty,Late 2010s,0
12016E114,12016E114,2016.0,Treaty,Late 2010s,0
12016E282,12016E282,2016.0,Treaty,Late 2010s,0
12016M026,12016M026,2016.0,Treaty,Late 2010s,0
12016M038,12016M038,2016.0,Treaty,Late 2010s,0
12016P048,12016P048,2016.0,Treaty,Late 2010s,0
12020W/PRO/01,12020WPRO01,2020.0,Treaty,2020s,0
31973L0240,31973L0240,1973.0,Directive,Pre-Single European Act,0
31975L0130,31975L0130,1975.0,Directive,Pre-Single European Act,0
31980L0777,31980L0777,1980.0,Directive,Pre-Single European Act,0
31983Y0804(01),31983Y080401,1983.0,Legislative_Act,Pre-Single European Act,0
31984L0005,31984L0005,1984.0,Directive,Pre-Single European Act,0
31988R0091,31988R0091,1988.0,Regulation,Pre-Maastricht,0
31988R2052,31988R2052,1988.0,Regulation,Pre-Maastricht,0
31989L0391,31989L0391,1989.0,Directive,Pre-Maastricht,0
31989L0646,31989L0646,1989.0,Directive,Pre-Maastricht,0
31989R4064,31989R4064,1989.0,Regulation,Pre-Maastricht,0
31990L0232,31990L0232,1990.0,Directive,Pre-Maastricht,0
31990L0425,31990L0425,1990.0,Directive,Pre-Maastricht,0
31991L0155,31991L0155,1991.0,Directive,Pre-Maastricht,0
31992L0096,31992L0096,1992.0,Directive,Pre-Maastricht,0
31993R0792,31993R0792,1993.0,Regulation,1990s,0
31994D1110,31994D1110,1994.0,Decision,1990s,0
31997R2519,31997R2519,1997.0,Regulation,1990s,0
31998D0013,31998D0013,1998.0,Decision,1990s,0
31998L0010,31998L0010,1998.0,Directive,1990s,0
31998L0079,31998L0079,1998.0,Directive,1990s,0
31998R0410,31998R0410,1998.0,Regulation,1990s,0
32000D0600,32000D0600,2000.0,Decision,Early 2000s,0
32000L0078,32000L0078,2000.0,Directive,Early 2000s,0
32000R1896R(01),32000R1896,2000.0,Regulation,Early 2000s,0
32001L0024,32001L0024,2001.0,Directive,Early 2000s,0
32002R2342,32002R2342,2002.0,Regulation,Early 2000s,0
