source,target,type
31999Y1012(01),http://eurovoc.europa.eu/2891,HAS_CONCEPT
31999Y1012(01),http://eurovoc.europa.eu/2825,HAS_CONCEPT
31999Y1012(01),http://eurovoc.europa.eu/4308,HAS_CONCEPT
31999Y1012(01),http://eurovoc.europa.eu/4074,HAS_CONCEPT
31999Y1012(01),http://eurovoc.europa.eu/3885,HAS_CONCEPT
32013L0022,http://eurovoc.europa.eu/5563,HAS_CONCEPT
32013L0022,http://eurovoc.europa.eu/12,HAS_CONCEPT
32013L0022,http://eurovoc.europa.eu/2897,HAS_CONCEPT
32013L0022,http://eurovoc.europa.eu/2457,HAS_CONCEPT
32013R1172,http://eurovoc.europa.eu/5573,HAS_CONCEPT
32013R1172,http://eurovoc.europa.eu/3173,HAS_CONCEPT
32013R1172,http://eurovoc.europa.eu/1085,HAS_CONCEPT
32013R1172,http://eurovoc.europa.eu/1120,HAS_CONCEPT
32004D0407R(03),http://eurovoc.europa.eu/42,HAS_CONCEPT
32004D0407R(03),http://eurovoc.europa.eu/255,HAS_CONCEPT
32004D0407R(03),http://eurovoc.europa.eu/5328,HAS_CONCEPT
32015D1156R(01),http://eurovoc.europa.eu/5618,HAS_CONCEPT
32015D1156R(01),http://eurovoc.europa.eu/1649,HAS_CONCEPT
32015D1156R(01),http://eurovoc.europa.eu/5410,HAS_CONCEPT
32015D1156R(01),http://eurovoc.europa.eu/3641,HAS_CONCEPT
32015D1156R(01),http://eurovoc.europa.eu/2825,HAS_CONCEPT
32015D1156R(01),http://eurovoc.europa.eu/3156,HAS_CONCEPT
32015D1156R(01),http://eurovoc.europa.eu/551,HAS_CONCEPT
32011R0181R(01),http://eurovoc.europa.eu/4512,HAS_CONCEPT
32011R0181R(01),http://eurovoc.europa.eu/4197,HAS_CONCEPT
32011R0181R(01),http://eurovoc.europa.eu/2836,HAS_CONCEPT
32011R0181R(01),http://eurovoc.europa.eu/3299,HAS_CONCEPT
32014L0070,http://eurovoc.europa.eu/2192,HAS_CONCEPT
32014L0070,http://eurovoc.europa.eu/4347,HAS_CONCEPT
32014L0070,http://eurovoc.europa.eu/2947,HAS_CONCEPT
32014L0070,http://eurovoc.europa.eu/2428,HAS_CONCEPT
32014L0070,http://eurovoc.europa.eu/6103,HAS_CONCEPT
