celex,title,year,domains,subdomains,legal_type,url
32011D0719,32011D0719,2011.0,"PRODUCTION, TECHNOLOGY AND RESEARCH;INTERNATIONAL RELATIONS;TRANSPORT;GEOGRAPHY;EUROPEAN UNION",ECONOMIC GEOGRAPHY;AMERICA;AIR AND SPACE TRANSPORT;TRANSPORT POLICY;POLITICAL GEOGRAPHY;COOPERATION POLICY;TECHNOLOGY AND TECHNICAL REGULATIONS;EUROPEAN CONSTRUCTION,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0719
32011D0740,32011D0740,2011.0,UNKNOWN,SETTORE TRASVERSALE,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0740
32011D0771,32011D0771,2011.0,ECONOMICS;TRADE;FINANCE;EMPLOYMENT AND WORKING CONDITIONS;GEOGRAPHY;EUROPEAN UNION,ECONOMIC POLICY;EMPLOYMENT;EUROPE;BUDGET;ECONOMIC GEOGRAPHY;ECONOMIC CONDITIONS;DISTRIBUTIVE TRADES;POLITICAL GEOGRAPHY;EU FINANCE,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0771
32011D0793,32011D0793,2011.0,"AGRI-FOODSTUFFS;EDUCATION AND COMMUNICATIONS;GEOGRAPHY;AGRICULTURE, FORESTRY AND FISHERIES;EUROPEAN UNION",AGRICULTURAL ACTIVITY;EUROPE;ECONOMIC GEOGRAPHY;INFORMATION AND INFORMATION PROCESSING;EU INSTITUTIONS AND EUROPEAN CIVIL SERVICE;FOODSTUFF;POLITICAL GEOGRAPHY;EUROPEAN CONSTRUCTION,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0793
32011D0818,32011D0818,2011.0,TRADE;INTERNATIONAL RELATIONS;GEOGRAPHY;EUROPEAN UNION,TARIFF POLICY;EUROPE;INTERNATIONAL AFFAIRS;ECONOMIC GEOGRAPHY;TRADE;POLITICAL GEOGRAPHY;EUROPEAN CONSTRUCTION,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0818
32011D0820(04),32011D0820(04),2011.0,UNKNOWN,SETTORE TRASVERSALE,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0820(04)
32011D0845,32011D0845,2011.0,POLITICS;INTERNATIONAL RELATIONS;LAW,INTERNATIONAL SECURITY;INTERNATIONAL LAW;POLITICS AND PUBLIC SAFETY;COOPERATION POLICY,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0845
32011D0866,32011D0866,2011.0,SOCIAL QUESTIONS;ECONOMICS;EMPLOYMENT AND WORKING CONDITIONS;EUROPEAN UNION,SOCIAL PROTECTION;ECONOMIC CONDITIONS;PERSONNEL MANAGEMENT AND STAFF REMUNERATION;SOCIAL FRAMEWORK;EU INSTITUTIONS AND EUROPEAN CIVIL SERVICE,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0866
32011D0888,32011D0888,2011.0,UNKNOWN,SETTORE TRASVERSALE,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0888
32011D0893,32011D0893,2011.0,UNKNOWN,SETTORE TRASVERSALE,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0893
